date,y,total_qty,num_items,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal,brand__anubis,brand__havit,brand__reddragon,brand__sony,cat__consoles,cat__headset,cat__mouse,cat__tvs,cat__teclado,year,month,day,weekday,lag1,lag2,ma3
2024-03-04,461052.02,1027,657,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,4,0,505314.16,475476.56,480614.24666666664
2024-03-11,472727.73,1028,666,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,11,0,461052.02,505314.16,479697.97
2024-03-18,544057.16,1077,673,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,18,0,472727.73,461052.02,492612.3033333334
2024-03-25,439347.30000000005,1008,656,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,25,0,544057.16,472727.73,485377.39666666667
2024-04-01,805649.12,1714,1138,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,1,0,439347.30000000005,544057.16,596351.1933333334
2024-04-08,397832.95,1186,813,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,8,0,805649.12,439347.30000000005,547609.7899999999
2024-04-15,486286.41,1030,709,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,15,0,397832.95,805649.12,563256.16
2024-04-22,672523.76,1676,1011,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,22,0,486286.41,397832.95,518881.04000000004
2024-04-29,535691.74,1082,711,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,29,0,672523.76,486286.41,564833.9700000001
2024-05-06,570989.4,1365,907,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,6,0,535691.74,672523.76,593068.2999999999
2024-05-13,488257.48,967,630,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,13,0,570989.4,535691.74,531646.2066666667
2024-05-20,304780.04,989,597,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,20,0,488257.48,570989.4,454675.63999999996
2024-05-27,423726.01999999996,953,638,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,27,0,304780.04,488257.48,405587.8466666667
